Timestamp: 2.888, Processing Time: 2.82386s, Total Time: 5.71218s, Avg Processing Time: 2.82386s, Min Processing Time: 2.82386s, Max Processing Time: 2.82386s
Timestamp: 4.887, Processing Time: 1.37241s, Total Time: 7.08612s, Avg Processing Time: 2.09813s, Min Processing Time: 1.37241s, Max Processing Time: 2.82386s
Timestamp: 6.887, Processing Time: 1.43163s, Total Time: 8.51853s, Avg Processing Time: 1.87597s, Min Processing Time: 1.37241s, Max Processing Time: 2.82386s
Timestamp: 8.889, Processing Time: 2.0866s, Total Time: 10.976s, Avg Processing Time: 1.92862s, Min Processing Time: 1.37241s, Max Processing Time: 2.82386s
Timestamp: 10.89, Processing Time: 1.61243s, Total Time: 12.5909s, Avg Processing Time: 1.86539s, Min Processing Time: 1.37241s, Max Processing Time: 2.82386s
Timestamp: 12.886, Processing Time: 2.04997s, Total Time: 14.9364s, Avg Processing Time: 1.89615s, Min Processing Time: 1.37241s, Max Processing Time: 2.82386s
Timestamp: 14.889, Processing Time: 1.47526s, Total Time: 16.4124s, Avg Processing Time: 1.83602s, Min Processing Time: 1.37241s, Max Processing Time: 2.82386s
Timestamp: 16.888, Processing Time: 1.12954s, Total Time: 18.0344s, Avg Processing Time: 1.74771s, Min Processing Time: 1.12954s, Max Processing Time: 2.82386s
Timestamp: 18.886, Processing Time: 1.02323s, Total Time: 19.9097s, Avg Processing Time: 1.66721s, Min Processing Time: 1.02323s, Max Processing Time: 2.82386s
Timestamp: 20.887, Processing Time: 0.954665s, Total Time: 21.8421s, Avg Processing Time: 1.59596s, Min Processing Time: 0.954665s, Max Processing Time: 2.82386s
Timestamp: 22.887, Processing Time: 0.872495s, Total Time: 23.7604s, Avg Processing Time: 1.53019s, Min Processing Time: 0.872495s, Max Processing Time: 2.82386s
Timestamp: 24.889, Processing Time: 0.87571s, Total Time: 25.7649s, Avg Processing Time: 1.47565s, Min Processing Time: 0.872495s, Max Processing Time: 2.82386s
Timestamp: 26.894, Processing Time: 0.810191s, Total Time: 27.7049s, Avg Processing Time: 1.42446s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 28.888, Processing Time: 1.22628s, Total Time: 30.1145s, Avg Processing Time: 1.4103s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 30.886, Processing Time: 1.12359s, Total Time: 32.0101s, Avg Processing Time: 1.39119s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 32.888, Processing Time: 0.956243s, Total Time: 33.8448s, Avg Processing Time: 1.36401s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 34.886, Processing Time: 0.905008s, Total Time: 35.7912s, Avg Processing Time: 1.33701s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 36.905, Processing Time: 1.15181s, Total Time: 38.0572s, Avg Processing Time: 1.32672s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 38.886, Processing Time: 0.916301s, Total Time: 39.8026s, Avg Processing Time: 1.30512s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 40.911, Processing Time: 0.919621s, Total Time: 41.8315s, Avg Processing Time: 1.28584s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 42.894, Processing Time: 0.998647s, Total Time: 43.8935s, Avg Processing Time: 1.27217s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
Timestamp: 44.888, Processing Time: 1.30946s, Total Time: 46.1982s, Avg Processing Time: 1.27386s, Min Processing Time: 0.810191s, Max Processing Time: 2.82386s
